"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Sep-2020","EQ","718.00","718.00","700.00","713.70","702.50","701.10","706.46","812.00","320.00",49283,"34,816,518.60",4015
"29-Sep-2020","EQ","722.00","737.70","704.10","714.00","712.50","713.70","720.90","812.00","320.00",116311,"83,849,047.10",9258
"28-Sep-2020","EQ","712.05","723.95","705.00","708.10","712.00","714.00","714.72","812.00","320.00",43274,"30,928,728.25",4906
"25-Sep-2020","EQ","701.00","714.95","696.70","688.70","709.60","708.10","704.95","812.00","320.00",68883,"48,559,257.65",5202
"24-Sep-2020","EQ","683.10","713.85","670.00","693.50","693.60","688.70","696.39","812.00","320.00",114617,"79,818,541.90",9389
"23-Sep-2020","EQ","716.90","725.00","690.00","716.90","692.00","693.50","703.24","812.00","320.00",106277,"74,738,375.00",9521
"22-Sep-2020","EQ","736.00","739.90","690.00","735.20","717.15","716.90","716.40","812.00","320.00",61933,"44,369,026.80",7052
"21-Sep-2020","EQ","778.00","785.00","729.40","773.70","739.90","735.20","762.63","812.00","320.00",118711,"90,532,907.35",9480
"18-Sep-2020","EQ","773.40","782.00","743.20","766.65","775.95","773.70","769.80","812.00","320.00",146017,"112,403,680.60",14947
"17-Sep-2020","EQ","779.00","793.20","762.15","785.15","764.00","766.65","775.64","812.00","320.00",95031,"73,709,409.80",10005
"16-Sep-2020","EQ","779.40","793.00","770.15","768.90","785.00","785.15","783.41","812.00","320.00",115566,"90,535,576.45",8073
"15-Sep-2020","EQ","775.00","780.00","760.00","770.85","768.00","768.90","771.51","812.00","320.00",58627,"45,231,382.60",5996
"14-Sep-2020","EQ","741.00","776.60","740.00","731.80","771.05","770.85","765.57","812.00","320.00",164924,"126,260,903.85",19538
